,STATION_NAME,W,GU
171,월드컵경기장,676.1725154407636,마포구
172,을지로3가,2693.991365997473,중구
173,을지로4가,1873.174294538818,중구
174,을지로입구,3453.545697037765,중구
175,응암,1641.7841802358225,은평구
176,이대,1724.3984418865805,마포구
177,이수,1445.2747052217856,동작구
178,이촌,880.365103874228,용산구
179,이태원,1418.4190763615945,용산구
180,일원,1012.0566395283548,강남구
181,잠실,8280.618964065132,송파구
182,잠실나루,1538.3787198203256,송파구
183,잠실새내,2202.9090398652443,송파구
184,잠원,809.010738349242,서초구
185,장승배기,1490.4192461570858,동작구
186,장지,2755.3868182775323,송파구
187,장한평,1464.2309096013475,동대문구
188,제기동,1967.4946659180237,동대문구
189,종각,3480.0789584503086,종로구
190,종로3가,5890.0369174621,종로구
191,종로5가,2805.7621420550254,종로구
192,종합운동장,944.8079730488489,송파구
193,중계,1211.7954800673779,노원구
194,중곡,880.0122824256036,광진구
195,중화,992.1500561482313,중랑구
196,증산,961.4030039303761,은평구
197,창동,2787.1690763615948,도봉구
198,창신,368.4186552498596,종로구
199,천왕,1560.5638380009827,구로구
200,천호,4032.3855979786636,강동구
201,청구,1198.7531938789837,중구
202,청담,1671.3712099943853,강남구
203,청량리,2515.396897810219,동대문구
204,총신대입구,2038.16360190904,동작구
205,충무로,2243.454583742805,중구
206,충정로,1601.686061201572,서대문구
207,태릉입구,1547.16107523863,노원구
208,하계,1630.711327905671,노원구
209,학동,1698.0329169006177,강남구
210,학여울,384.6317377877597,강남구
211,한강진,1105.213503649635,용산구
212,한성대입구,1737.9622403144301,성북구
213,한양대,835.5427428411006,성동구
214,합정,4370.114823133072,마포구
215,행당,831.9792953396968,성동구
216,혜화,3427.342644581696,종로구
217,홍대입구,6542.381737787759,마포구
218,홍제,2077.1792532285235,서대문구
219,화곡,2393.328677709152,강서구
220,화랑대,1327.4157074677148,노원구
221,회현,2335.0834620244277,중구
222,효창공원앞,739.470381807973,용산구
